sample_id	sequence_length	dataset	k	n_top_k	tree_index
4	41	positive	5	27.0	3
4	41	positive	10	31.0	3
4	41	positive	20	37.0	3
4	41	positive	1	16.5	4
4	41	positive	5	26.0	4
4	41	positive	10	34.0	4
4	41	positive	20	38.0	4
4	41	positive	1	18.5	5
4	41	positive	5	25.0	5
4	41	positive	10	31.0	5
4	41	positive	20	37.0	5
4	41	positive	1	16.5	6
4	41	positive	5	25.0	6
4	41	positive	10	31.0	6
4	41	positive	20	36.0	6
4	41	positive	1	18.0	7
4	41	positive	5	24.0	7
4	41	positive	10	31.0	7
4	41	positive	20	37.0	7
4	41	positive	1	16.5	8
4	41	positive	5	26.0	8
4	41	positive	10	31.0	8
4	41	positive	20	36.0	8
4	41	positive	1	17.5	9
4	41	positive	5	25.0	9
4	41	positive	10	33.0	9
4	41	positive	20	37.0	9
4	41	positive	1	17.5	10
4	41	positive	5	26.0	10
4	41	positive	10	33.0	10
4	41	positive	20	38.0	10
4	41	positive	1	18.5	11
4	41	positive	5	27.0	11
4	41	positive	10	32.0	11
4	41	positive	20	37.0	11
4	41	positive	1	18.5	12
4	41	positive	5	26.0	12
4	41	positive	10	32.0	12
4	41	positive	20	37.0	12
4	41	positive	1	18.5	13
4	41	positive	5	24.0	13
4	41	positive	10	31.0	13
4	41	positive	20	36.0	13
4	41	positive	1	14.5	14
4	41	positive	5	23.0	14
4	41	positive	10	31.0	14
4	41	positive	20	36.0	14
4	41	positive	1	17.0	15
4	41	positive	5	26.0	15
4	41	positive	10	32.0	15
4	41	positive	20	37.0	15
4	41	positive	1	13.5	16
4	41	positive	5	25.0	16
4	41	positive	10	32.0	16
4	41	positive	20	37.0	16
4	41	positive	1	17.5	17
4	41	positive	5	24.0	17
4	41	positive	10	31.0	17
4	41	positive	20	37.0	17
4	41	positive	1	17.5	18
4	41	positive	5	26.0	18
4	41	positive	10	30.0	18
4	41	positive	20	36.0	18
4	41	positive	1	16.5	19
4	41	positive	5	24.0	19
4	41	positive	10	32.0	19
4	41	positive	20	37.0	19
4	41	positive	1	15.5	20
4	41	positive	5	26.0	20
4	41	positive	10	32.0	20
4	41	positive	20	38.0	20
4	41	positive	1	15.5	21
4	41	positive	5	24.0	21
4	41	positive	10	30.0	21
4	41	positive	20	37.0	21
4	41	positive	1	15.5	22
4	41	positive	5	25.0	22
4	41	positive	10	31.0	22
4	41	positive	20	36.0	22
4	41	positive	1	15.5	23
4	41	positive	5	24.0	23
4	41	positive	10	31.0	23
4	41	positive	20	36.0	23
4	41	positive	1	15.5	24
4	41	positive	5	24.0	24
4	41	positive	10	31.0	24
4	41	positive	20	38.0	24
4	41	positive	1	17.5	25
4	41	positive	5	26.0	25
4	41	positive	10	31.0	25
4	41	positive	20	36.0	25
4	41	positive	1	17.5	26
